===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-01-14 18:54:47
count workspace : /Users/fabrizioguespe/Developer/htdocs/fastway/wp-content/themes/fastway
total files : 233
total code lines : 26654
total comment lines : 4548
total blank lines : 4559

404.php, code is 3, comment is 0, blank is 2.
functions/hide-default-woocomerce-category.php, code is 30, comment is 32, blank is 13.
functions/ihaf.php, code is 19, comment is 9, blank is 5.
functions/navbackup.php, code is 192, comment is 98, blank is 43.
functions/product-enquiry-form/.gitignore, code is 1, comment is 0, blank is 0.
functions/product-enquiry-form/languages/wc_enquiry_form.pot, code is 95, comment is 0, blank is 38.
functions/product-enquiry-form/product-enquiry-form.php, code is 265, comment is 111, blank is 88.
functions/product-enquiry-form/readme.txt, code is 23, comment is 0, blank is 11.
functions/product-enquiry-form/woo-includes/class-wc-dependencies.php, code is 13, comment is 5, blank is 10.
functions/product-enquiry-form/woo-includes/woo-functions.php, code is 59, comment is 23, blank is 15.
functions/shortcodes/class-shortcodes.php, code is 16, comment is 1, blank is 10.
functions/shortcodes/class-woo-shortcodes.php, code is 436, comment is 16, blank is 86.
functions/shortcodes/woo-cats-carousel2.php, code is 45, comment is 1, blank is 5.
functions/shortcodes/woo-products-carousel2.php, code is 41, comment is 1, blank is 6.
functions/tab_descargas.php, code is 20, comment is 0, blank is 3.
functions/tab_video.php, code is 45, comment is 6, blank is 5.
functions/vc_customs/vc_fastway.php, code is 335, comment is 11, blank is 30.
functions/vc_customs/vc_woo_carousels.php, code is 260, comment is 20, blank is 42.
functions/woo-empty-cart-button.php, code is 54, comment is 43, blank is 13.
functions/woocommerce-category-banner/assets/css/wcb-admin.css, code is 19, comment is 0, blank is 3.
functions/woocommerce-category-banner/assets/js/wcb-admin.js, code is 29, comment is 11, blank is 10.
functions/woocommerce-category-banner/woocommerce-category-banner.php, code is 130, comment is 39, blank is 45.
functions/woocommerce_custom_related_products.php, code is 120, comment is 46, blank is 17.
global-templates/left-sidebar-check.php, code is 30, comment is 1, blank is 3.
global-templates/pagination.php, code is 63, comment is 23, blank is 17.
global-templates/right-sidebar-check.php, code is 11, comment is 1, blank is 4.
header.php, code is 62, comment is 8, blank is 10.
inc/breadcrumb.php, code is 182, comment is 10, blank is 37.
inc/class-staticblocks.php, code is 134, comment is 7, blank is 21.
inc/enqueue.php, code is 30, comment is 1, blank is 10.
inc/pagination.php, code is 57, comment is 17, blank is 19.
inc/widgets.php, code is 99, comment is 11, blank is 15.
inc/woocommerce.php, code is 66, comment is 33, blank is 2.
index.php, code is 33, comment is 5, blank is 29.
languages/ent.mo, it is a binary file.
languages/ent.po, code is 1021, comment is 0, blank is 370.
loop-templates/content-blank.php, code is 2, comment is 0, blank is 1.
loop-templates/content-empty.php, code is 2, comment is 0, blank is 2.
loop-templates/content-none.php, code is 23, comment is 0, blank is 10.
loop-templates/content-page.php, code is 19, comment is 0, blank is 12.
loop-templates/content-search.php, code is 17, comment is 0, blank is 16.
loop-templates/content-single.php, code is 21, comment is 0, blank is 16.
loop-templates/content.php, code is 12, comment is 0, blank is 1.
page-templates/blank.php, code is 23, comment is 8, blank is 3.
page-templates/both-sidebarspage.php, code is 27, comment is 9, blank is 18.
page-templates/empty.php, code is 6, comment is 8, blank is 3.
page-templates/fullwidthpage.php, code is 23, comment is 9, blank is 18.
page-templates/left-sidebarpage.php, code is 26, comment is 9, blank is 17.
page-templates/right-sidebarpage.php, code is 26, comment is 9, blank is 18.
page.php, code is 29, comment is 12, blank is 19.
sass/fastway.scss, code is 1829, comment is 75, blank is 239.
screenshot.png, it is a binary file.
search.php, code is 35, comment is 11, blank is 26.
searchform.php, code is 13, comment is 5, blank is 1.
sidebar-left.php, code is 19, comment is 0, blank is 3.
sidebar-right.php, code is 25, comment is 0, blank is 4.
single.php, code is 27, comment is 7, blank is 18.
style.css, code is 0, comment is 8, blank is 0.
templates/fw-templates.php, code is 90, comment is 10, blank is 19.
templates/headers/header-1-1.php, code is 21, comment is 0, blank is 2.
templates/headers/header-1-2.php, code is 25, comment is 0, blank is 2.
templates/headers/header-1-3.php, code is 23, comment is 0, blank is 0.
templates/headers/header-1-4.php, code is 23, comment is 0, blank is 0.
templates/headers/header-1-5.php, code is 23, comment is 0, blank is 0.
templates/headers/header-10-1.php, code is 34, comment is 0, blank is 1.
templates/headers/header-100-1.php, code is 11, comment is 0, blank is 1.
templates/headers/header-100-2.php, code is 21, comment is 0, blank is 2.
templates/headers/header-11-1.php, code is 66, comment is 0, blank is 6.
templates/headers/header-12-1.php, code is 30, comment is 0, blank is 1.
templates/headers/header-13-1.php, code is 37, comment is 0, blank is 1.
templates/headers/header-14-1.php, code is 24, comment is 1, blank is 1.
templates/headers/header-15-1.php, code is 38, comment is 0, blank is 2.
templates/headers/header-15-2.php, code is 43, comment is 0, blank is 4.
templates/headers/header-15-3.php, code is 23, comment is 0, blank is 2.
templates/headers/header-15-4.php, code is 23, comment is 0, blank is 2.
templates/headers/header-2-1.php, code is 23, comment is 0, blank is 0.
templates/headers/header-2-2.php, code is 24, comment is 0, blank is 0.
templates/headers/header-2-3.php, code is 23, comment is 0, blank is 0.
templates/headers/header-2-4.php, code is 23, comment is 0, blank is 0.
templates/headers/header-2-5.php, code is 23, comment is 0, blank is 0.
templates/headers/header-3-1.php, code is 23, comment is 0, blank is 0.
templates/headers/header-3-2.php, code is 23, comment is 0, blank is 0.
templates/headers/header-3-3.php, code is 23, comment is 0, blank is 0.
templates/headers/header-3-4.php, code is 23, comment is 0, blank is 1.
templates/headers/header-3-5.php, code is 23, comment is 0, blank is 0.
templates/headers/header-4-1.php, code is 31, comment is 0, blank is 3.
templates/headers/header-4-2.php, code is 37, comment is 0, blank is 2.
templates/headers/header-7-1.php, code is 24, comment is 0, blank is 3.
templates/headers/header-8-1.php, code is 13, comment is 0, blank is 3.
templates/headers/header-9-1.php, code is 36, comment is 0, blank is 0.
templates/headers/header-9-2.php, code is 36, comment is 0, blank is 2.
templates/mobile-headers/mobile-header-1.php, code is 27, comment is 0, blank is 7.
templates/mobile-headers/mobile-header-2.php, code is 40, comment is 0, blank is 4.
